short_name,age,nationality_name,overall,potential,club_name,value_eur,wage_eur,player_positions,player_face_url
G. Honeyman,26,England,71,72,Hull City,2200000.0,10000.0,CM,https://cdn.sofifa.net/players/216/270/22_120.png
F. Mattiello,25,Italy,71,72,Atalanta,2200000.0,25000.0,RM,https://cdn.sofifa.net/players/220/466/22_120.png
D. Milošević,26,Bosnia and Herzegovina,71,72,Antalyaspor,2200000.0,12000.0,LM,https://cdn.sofifa.net/players/221/367/22_120.png
Ivi López,27,Spain,71,72,Raków Częstochowa,2200000.0,7000.0,CF,https://cdn.sofifa.net/players/222/467/22_120.png
M. Al Kuwaykibi,26,Saudi Arabia,71,72,Ettifaq FC,2200000.0,19000.0,RM,https://cdn.sofifa.net/players/224/962/22_120.png
A. Bobichon,25,France,71,72,Angers SCO,2200000.0,14000.0,LM,https://cdn.sofifa.net/players/225/855/22_120.png
Sergio Santos,26,Brazil,71,72,Philadelphia Union,2200000.0,6000.0,ST,https://cdn.sofifa.net/players/226/495/22_120.png
F. Soldano,26,Argentina,71,72,CF Fuenlabrada,2200000.0,1000.0,ST,https://cdn.sofifa.net/players/226/811/22_120.png
K. Mrabti,27,Sweden,71,72,KV Mechelen,2200000.0,11000.0,ST,https://cdn.sofifa.net/players/227/689/22_120.png
F. Selemani,27,Comoros,71,72,KV Kortrijk,2200000.0,10000.0,CAM,https://cdn.sofifa.net/players/230/969/22_120.png
J. Lucumí,26,Colombia,71,72,América de Cali,2200000.0,3000.0,RM,https://cdn.sofifa.net/players/231/571/22_120.png
L. Höler,26,Germany,71,72,Sport-Club Freiburg,2200000.0,18000.0,ST,https://cdn.sofifa.net/players/234/875/22_120.png
N. Ibáñez,26,Argentina,71,72,Pachuca,2200000.0,13000.0,ST,https://cdn.sofifa.net/players/236/287/22_120.png
P. Hamel,27,France,71,72,Clermont Foot 63,2200000.0,14000.0,ST,https://cdn.sofifa.net/players/236/621/22_120.png
M. Yandaş,26,Turkey,71,72,Fenerbahçe SK,2200000.0,28000.0,CAM,https://cdn.sofifa.net/players/240/837/22_120.png
J. Ralls,27,England,71,72,Cardiff City,2100000.0,22000.0,CM,https://cdn.sofifa.net/players/204/464/22_120.png
R. Schoofs,27,Belgium,71,72,KV Mechelen,2100000.0,10000.0,CM,https://cdn.sofifa.net/players/205/369/22_120.png
A. Schöpf,27,Austria,71,72,DSC Arminia Bielefeld,2100000.0,15000.0,CM,https://cdn.sofifa.net/players/220/925/22_120.png
M. Trávník,27,Czech Republic,71,72,Kasimpaşa SK,2100000.0,750.0,CM,https://cdn.sofifa.net/players/243/008/22_120.png
David Juncà,27,Spain,71,72,Girona FC,2000000.0,8000.0,LB,https://cdn.sofifa.net/players/202/501/22_120.png
Alex Muñoz,26,Spain,71,72,CD Tenerife,2000000.0,6000.0,LB,https://cdn.sofifa.net/players/211/857/22_120.png
S. Piette,26,Canada,71,72,Club de Foot Montréal,2000000.0,5000.0,CDM,https://cdn.sofifa.net/players/213/092/22_120.png
Henrique,27,Brazil,71,72,Olympique Lyonnais,2000000.0,30000.0,LB,https://cdn.sofifa.net/players/217/821/22_120.png
F. Hadergjonaj,26,Kosovo,71,72,Kasimpaşa SK,2000000.0,9000.0,RB,https://cdn.sofifa.net/players/220/620/22_120.png
M. Tirpan,27,Belgium,71,72,Fortuna Sittard,2000000.0,8000.0,RB,https://cdn.sofifa.net/players/228/980/22_120.png
R. Matarrita,26,Costa Rica,71,72,FC Cincinnati,2000000.0,5000.0,LB,https://cdn.sofifa.net/players/232/230/22_120.png
M. Havel,26,Czech Republic,71,72,FC Viktoria Plzeň,2000000.0,650.0,RB,https://cdn.sofifa.net/players/244/787/22_120.png
A. Öztürk,27,Turkey,71,72,Galatasaray SK,1900000.0,29000.0,CB,https://cdn.sofifa.net/players/202/889/22_120.png
W. Vaulks,27,Wales,71,72,Cardiff City,1900000.0,20000.0,CDM,https://cdn.sofifa.net/players/208/769/22_120.png
I. Kutepov,27,Russia,71,72,Spartak Moskva,1900000.0,28000.0,CB,https://cdn.sofifa.net/players/210/468/22_120.png
L. Magallán,27,Argentina,71,72,RSC Anderlecht,1900000.0,9000.0,CB,https://cdn.sofifa.net/players/211/263/22_120.png
F. Barba,27,Italy,71,72,Benevento,1900000.0,11000.0,CB,https://cdn.sofifa.net/players/211/557/22_120.png
N. Freire,27,Argentina,71,72,Club Universidad Nacional,1900000.0,9000.0,CB,https://cdn.sofifa.net/players/214/659/22_120.png
E. Goldaniga,27,Italy,71,72,U.S. Sassuolo Calcio,1900000.0,18000.0,CB,https://cdn.sofifa.net/players/223/524/22_120.png
M. Bani,27,Italy,71,72,Genoa,1900000.0,10000.0,CB,https://cdn.sofifa.net/players/224/378/22_120.png
A. Hack,27,Germany,71,72,1. FSV Mainz 05,1900000.0,14000.0,CB,https://cdn.sofifa.net/players/231/111/22_120.png
J. Moreno,27,Venezuela,71,72,D.C. United,1900000.0,5000.0,CDM,https://cdn.sofifa.net/players/240/982/22_120.png
Ignasi Miquel,28,Spain,71,72,SD Huesca,1800000.0,16000.0,CB,https://cdn.sofifa.net/players/196/935/22_120.png
M. Hector,28,Jamaica,71,72,Fulham,1800000.0,31000.0,CB,https://cdn.sofifa.net/players/200/138/22_120.png
K. Djidji,28,Côte d'Ivoire,71,72,Torino F.C.,1800000.0,24000.0,CB,https://cdn.sofifa.net/players/203/884/22_120.png
D. Arslanagic,28,Belgium,71,72,Göztepe SK,1800000.0,10000.0,CB,https://cdn.sofifa.net/players/204/352/22_120.png
V. Haroyan,28,Armenia,71,72,Cádiz CF,1800000.0,17000.0,CB,https://cdn.sofifa.net/players/206/423/22_120.png
Antônio Carlos,28,Brazil,71,72,Orlando City Soccer Club,1800000.0,6000.0,CB,https://cdn.sofifa.net/players/209/597/22_120.png
G. Ortíz,28,Argentina,71,72,Godoy Cruz,1800000.0,7000.0,CB,https://cdn.sofifa.net/players/215/070/22_120.png
B. Zungu,28,South Africa,71,72,Amiens SC,1800000.0,5000.0,CDM,https://cdn.sofifa.net/players/220/245/22_120.png
Y. Barbet,28,France,71,72,Queens Park Rangers,1800000.0,12000.0,CB,https://cdn.sofifa.net/players/224/189/22_120.png
A. Callens,29,Peru,71,72,New York City FC,1700000.0,6000.0,CB,https://cdn.sofifa.net/players/211/522/22_120.png
Chema Rodríguez,29,Spain,71,72,Getafe CF,1700000.0,16000.0,CB,https://cdn.sofifa.net/players/219/777/22_120.png
Y. Cabral,29,Argentina,71,72,Atlético Tucumán,1700000.0,8000.0,CB,https://cdn.sofifa.net/players/221/990/22_120.png
T. Koubek,28,Czech Republic,71,72,FC Augsburg,1500000.0,12000.0,GK,https://cdn.sofifa.net/players/200/332/22_120.png
O. Jansson,30,Sweden,71,72,IFK Norrköping,1400000.0,4000.0,GK,https://cdn.sofifa.net/players/190/669/22_120.png
G. Güvenç,29,Turkey,71,72,Gazişehir Gaziantep F.K.,1400000.0,8000.0,GK,https://cdn.sofifa.net/players/211/908/22_120.png
F. Plach,29,Slovakia,71,72,Piast Gliwice,1400000.0,5000.0,GK,https://cdn.sofifa.net/players/242/514/22_120.png
Macarinho Louro,21,Brazil,71,71,Bahia,2200000.0,8000.0,LW,https://cdn.sofifa.net/players/230/474/22_120.png
Jairão Zezé,21,Brazil,71,71,Atlético Clube Goianiense,2200000.0,7000.0,CAM,https://cdn.sofifa.net/players/230/478/22_120.png
Jessé Ledeiro,21,Brazil,71,71,RB Bragantino,2200000.0,8000.0,CAM,https://cdn.sofifa.net/players/230/479/22_120.png
Raphael Paneira,21,Brazil,71,71,Grêmio,2200000.0,13000.0,CAM,https://cdn.sofifa.net/players/230/480/22_120.png
Paulão Junqueiras,21,Brazil,71,71,Grêmio,2200000.0,15000.0,ST,https://cdn.sofifa.net/players/230/516/22_120.png
Rômulo Calsede,21,Brazil,71,71,São Paulo,2200000.0,18000.0,ST,https://cdn.sofifa.net/players/234/028/22_120.png
Clayton Fildeiras,25,Brazil,71,71,Associação Chapecoense de Futebol,2100000.0,11000.0,CAM,https://cdn.sofifa.net/players/230/257/22_120.png
Dinei Peixo,25,Brazil,71,71,Sport Club Corinthians Paulista,2100000.0,19000.0,RW,https://cdn.sofifa.net/players/230/451/22_120.png
Gus Outomouro,25,Brazil,71,71,Internacional,2100000.0,17000.0,ST,https://cdn.sofifa.net/players/230/513/22_120.png
T. Barkhuizen,27,England,71,71,Preston North End,2000000.0,22000.0,RM,https://cdn.sofifa.net/players/201/240/22_120.png
V. Misidjan,27,Netherlands,71,71,FC Twente,2000000.0,8000.0,RW,https://cdn.sofifa.net/players/203/725/22_120.png
V. Fischer,27,Denmark,71,71,Royal Antwerp FC,2000000.0,14000.0,LM,https://cdn.sofifa.net/players/203/965/22_120.png
T. Lawrence,27,Wales,71,71,Derby County,2000000.0,10000.0,LM,https://cdn.sofifa.net/players/211/513/22_120.png
J. Cabot,27,France,71,71,Angers SCO,2000000.0,15000.0,RM,https://cdn.sofifa.net/players/212/947/22_120.png
Aketxe,27,Spain,71,71,SD Eibar,2000000.0,8000.0,RM,https://cdn.sofifa.net/players/213/937/22_120.png
R. Carrera,27,Argentina,71,71,Atlético Tucumán,2000000.0,8000.0,RM,https://cdn.sofifa.net/players/219/174/22_120.png
S. Vecchia,26,Sweden,71,71,Rosenborg BK,2000000.0,6000.0,LW,https://cdn.sofifa.net/players/220/649/22_120.png
Y. Asad,26,Argentina,71,71,D.C. United,2000000.0,6000.0,LM,https://cdn.sofifa.net/players/222/644/22_120.png
Jairo,27,Spain,71,71,Girona FC,2000000.0,8000.0,LM,https://cdn.sofifa.net/players/224/584/22_120.png
Dalbert,27,Brazil,71,71,Cagliari,2000000.0,47000.0,LM,https://cdn.sofifa.net/players/229/148/22_120.png
K. Bua,27,Switzerland,71,71,FC Sion,2000000.0,16000.0,LM,https://cdn.sofifa.net/players/229/260/22_120.png
Gerard Valentín,27,Spain,71,71,CD Lugo,2000000.0,6000.0,RM,https://cdn.sofifa.net/players/229/654/22_120.png
Vanderlei Cõembra,21,Brazil,71,71,Cuiabá,2000000.0,7000.0,RB,https://cdn.sofifa.net/players/230/211/22_120.png
Alex das Freitas,21,Brazil,71,71,Associação Chapecoense de Futebol,2000000.0,7000.0,CDM,https://cdn.sofifa.net/players/230/235/22_120.png
Antonaldo Vaz,21,Brazil,71,71,Palmeiras,2000000.0,15000.0,LB,https://cdn.sofifa.net/players/230/248/22_120.png
Wagner Orsinho,21,Brazil,71,71,Fluminense,2000000.0,10000.0,LB,https://cdn.sofifa.net/players/230/335/22_120.png
Luisinho Conradi,21,Brazil,71,71,Fortaleza,2000000.0,6000.0,LB,https://cdn.sofifa.net/players/230/340/22_120.png
A. Bouzat,27,Argentina,71,71,Vélez Sarsfield,2000000.0,11000.0,RW,https://cdn.sofifa.net/players/232/255/22_120.png
Mateus,26,Brazil,71,71,Nagoya Grampus,2000000.0,5000.0,RM,https://cdn.sofifa.net/players/232/787/22_120.png
C. Songkrasin,27,Thailand,71,71,Hokkaido Consadole Sapporo,2000000.0,5000.0,CF,https://cdn.sofifa.net/players/234/698/22_120.png
B. Acosta,27,Honduras,71,71,FC Dallas,2000000.0,6000.0,CM,https://cdn.sofifa.net/players/239/782/22_120.png
A. Estupiñán,26,Colombia,71,71,Club Deportes Tolima,2000000.0,2000.0,LM,https://cdn.sofifa.net/players/245/214/22_120.png
T. Usami,29,Japan,71,71,Gamba Osaka,1900000.0,10000.0,CF,https://cdn.sofifa.net/players/191/388/22_120.png
T. Børven,29,Norway,71,71,Gazişehir Gaziantep F.K.,1900000.0,11000.0,ST,https://cdn.sofifa.net/players/193/422/22_120.png
M. Ritzmaier,28,Austria,71,71,SV Sandhausen,1900000.0,6000.0,CM,https://cdn.sofifa.net/players/194/669/22_120.png
M. Waris,29,Ghana,71,71,RC Strasbourg Alsace,1900000.0,17000.0,ST,https://cdn.sofifa.net/players/198/420/22_120.png
M. Leitner,28,Germany,71,71,FC Zürich,1900000.0,13000.0,CM,https://cdn.sofifa.net/players/200/857/22_120.png
R. Morrison,28,Jamaica,71,71,Derby County,1900000.0,11000.0,CAM,https://cdn.sofifa.net/players/201/155/22_120.png
B. Kadrii,29,Denmark,71,71,Odense Boldklub,1900000.0,11000.0,ST,https://cdn.sofifa.net/players/201/304/22_120.png
O. Hernández,28,Cuba,71,71,Middlesbrough,1900000.0,23000.0,LM,https://cdn.sofifa.net/players/202/017/22_120.png
Jesé,28,Spain,71,71,Unión Deportiva Las Palmas,1900000.0,8000.0,ST,https://cdn.sofifa.net/players/202/515/22_120.png
Abdón Prats,28,Spain,71,71,RCD Mallorca,1900000.0,18000.0,ST,https://cdn.sofifa.net/players/202/716/22_120.png
G. Saville,28,Northern Ireland,71,71,Millwall,1900000.0,11000.0,CM,https://cdn.sofifa.net/players/204/412/22_120.png
M. Ishak,28,Sweden,71,71,Lech Poznań,1900000.0,8000.0,ST,https://cdn.sofifa.net/players/206/626/22_120.png
J. Damm,28,Mexico,71,71,Atlanta United,1900000.0,6000.0,RM,https://cdn.sofifa.net/players/207/444/22_120.png
L. James,28,Nigeria,71,71,Demir Grup Sivasspor,1900000.0,13000.0,ST,https://cdn.sofifa.net/players/207/507/22_120.png
M. Barrow,28,Gambia,71,71,Jeonbuk Hyundai Motors,1900000.0,8000.0,LM,https://cdn.sofifa.net/players/207/645/22_120.png
S. Hedlund,28,Sweden,71,71,Brøndby IF,1900000.0,12000.0,CF,https://cdn.sofifa.net/players/209/061/22_120.png
P. González,28,Mexico,71,71,Deportivo Toluca,1900000.0,15000.0,CM,https://cdn.sofifa.net/players/210/123/22_120.png
O. Kayode,28,Nigeria,71,71,Demir Grup Sivasspor,1900000.0,750.0,ST,https://cdn.sofifa.net/players/211/048/22_120.png
M. Boyle,28,Australia,71,71,Hibernian,1900000.0,7000.0,RM,https://cdn.sofifa.net/players/211/221/22_120.png
Tiago Silva,28,Portugal,71,71,Vitória de Guimarães,1900000.0,8000.0,CM,https://cdn.sofifa.net/players/212/474/22_120.png
F. Forte,28,Italy,71,71,Venezia FC,1900000.0,15000.0,ST,https://cdn.sofifa.net/players/213/993/22_120.png
M. Thiam,28,Senegal,71,71,Yukatel Kayserispor,1900000.0,11000.0,LW,https://cdn.sofifa.net/players/217/007/22_120.png
Rober Ibáñez,28,Spain,71,71,CA Osasuna,1900000.0,17000.0,RM,https://cdn.sofifa.net/players/219/652/22_120.png
E. Torregrossa,29,Italy,71,71,U.C. Sampdoria,1900000.0,14000.0,ST,https://cdn.sofifa.net/players/220/829/22_120.png
J. Lolley,28,England,71,71,Nottingham Forest,1900000.0,31000.0,RM,https://cdn.sofifa.net/players/221/587/22_120.png
P. Žulj,28,Austria,71,71,İstanbul Başakşehir FK,1900000.0,23000.0,CM,https://cdn.sofifa.net/players/221/931/22_120.png
R. Mirzov,28,Russia,71,71,Spartak Moskva,1900000.0,32000.0,LM,https://cdn.sofifa.net/players/223/458/22_120.png
A. Pešić,29,Serbia,71,71,Fatih Karagümrük S.K.,1900000.0,11000.0,ST,https://cdn.sofifa.net/players/223/489/22_120.png
O. Rivero,29,Uruguay,71,71,Unión La Calera,1900000.0,3000.0,ST,https://cdn.sofifa.net/players/223/685/22_120.png
C. Gonzáles,28,Peru,71,71,Club Sporting Cristal,1900000.0,800.0,CAM,https://cdn.sofifa.net/players/228/271/22_120.png
Thiago Santana,28,Brazil,71,71,Shimizu S-Pulse,1900000.0,4000.0,ST,https://cdn.sofifa.net/players/229/282/22_120.png
Thiago Alminxa,29,Brazil,71,71,RB Bragantino,1900000.0,13000.0,ST,https://cdn.sofifa.net/players/230/291/22_120.png
Walter Silvieiro,29,Brazil,71,71,Atlético Clube Goianiense,1900000.0,11000.0,ST,https://cdn.sofifa.net/players/230/298/22_120.png
Josué da Feira,29,Brazil,71,71,Juventude,1900000.0,17000.0,ST,https://cdn.sofifa.net/players/230/302/22_120.png
Edsinho Torres,25,Brazil,71,71,Atlético Clube Goianiense,1900000.0,8000.0,LB,https://cdn.sofifa.net/players/230/342/22_120.png
Daguinho Parrela,25,Brazil,71,71,Internacional,1900000.0,15000.0,RB,https://cdn.sofifa.net/players/230/362/22_120.png
Alexandre Frandeira,21,Brazil,71,71,Atlético Clube Goianiense,1900000.0,6000.0,CB,https://cdn.sofifa.net/players/230/390/22_120.png
M. Santos,28,Uruguay,71,71,Club Atlético Talleres,1900000.0,12000.0,ST,https://cdn.sofifa.net/players/230/964/22_120.png
R. Oshima,28,Japan,71,71,Kawasaki Frontale,1900000.0,9000.0,CM,https://cdn.sofifa.net/players/233/147/22_120.png
G. Blanco Leschuk,29,Argentina,71,71,SD Eibar,1900000.0,13000.0,ST,https://cdn.sofifa.net/players/237/291/22_120.png
K. Rezaei,29,Iran,71,71,Oud-Heverlee Leuven,1900000.0,11000.0,ST,https://cdn.sofifa.net/players/239/593/22_120.png
Š. Falta,28,Czech Republic,71,71,FC Viktoria Plzeň,1900000.0,850.0,LW,https://cdn.sofifa.net/players/241/362/22_120.png
Bojan,30,Spain,71,71,Vissel Kobe,1800000.0,7000.0,CAM,https://cdn.sofifa.net/players/176/993/22_120.png
L. Holtby,30,Germany,71,71,Holstein Kiel,1800000.0,16000.0,CM,https://cdn.sofifa.net/players/188/154/22_120.png
M. Wakaso,30,Ghana,71,71,Shenzhen FC,1800000.0,8000.0,CM,https://cdn.sofifa.net/players/188/337/22_120.png
Y. Salibur,30,France,71,71,Fatih Karagümrük S.K.,1800000.0,10000.0,RM,https://cdn.sofifa.net/players/190/014/22_120.png
B. Sigurðarson,30,Iceland,71,71,Molde FK,1800000.0,6000.0,ST,https://cdn.sofifa.net/players/190/461/22_120.png
G. Töre,29,Turkey,71,71,Beşiktaş JK,1800000.0,28000.0,RW,https://cdn.sofifa.net/players/191/032/22_120.png
M. Stiepermann,30,Germany,71,71,SC Paderborn 07,1800000.0,11000.0,CAM,https://cdn.sofifa.net/players/192/449/22_120.png
Y. Ngbakoto,29,Congo DR,71,71,Panathinaikos FC,1800000.0,650.0,LM,https://cdn.sofifa.net/players/192/938/22_120.png
A. Forshaw,29,England,71,71,Leeds United,1800000.0,44000.0,CM,https://cdn.sofifa.net/players/193/910/22_120.png
M. Leckie,30,Australia,71,71,Melbourne City FC,1800000.0,10000.0,RW,https://cdn.sofifa.net/players/195/033/22_120.png
S. Gürler,29,Turkey,71,71,İttifak Holding Konyaspor,1800000.0,12000.0,LM,https://cdn.sofifa.net/players/196/318/22_120.png
R. Mak,30,Slovakia,71,71,Ferencvárosi TC,1800000.0,800.0,LW,https://cdn.sofifa.net/players/198/193/22_120.png
S. Tecl,30,Czech Republic,71,71,SK Slavia Praha,1800000.0,750.0,ST,https://cdn.sofifa.net/players/198/429/22_120.png
B. Dabo,29,Burkina Faso,71,71,Çaykur Rizespor,1800000.0,10000.0,CM,https://cdn.sofifa.net/players/199/170/22_120.png
F. Santander,30,Paraguay,71,71,Bologna,1800000.0,21000.0,ST,https://cdn.sofifa.net/players/201/335/22_120.png
N. Benezet,30,France,71,71,Seattle Sounders FC,1800000.0,6000.0,LM,https://cdn.sofifa.net/players/202/035/22_120.png
J. Geis,27,Germany,71,71,1. FC Nürnberg,1800000.0,8000.0,CDM,https://cdn.sofifa.net/players/202/087/22_120.png
O. John,29,Netherlands,71,71,Al Hazem,1800000.0,15000.0,LM,https://cdn.sofifa.net/players/202/101/22_120.png
N. Kebano,29,Congo DR,71,71,Fulham,1800000.0,34000.0,LM,https://cdn.sofifa.net/players/202/940/22_120.png
S. Ameobi,29,England,71,71,Middlesbrough,1800000.0,19000.0,RM,https://cdn.sofifa.net/players/203/537/22_120.png
P. Wszołek,29,Poland,71,71,1. FC Union Berlin,1800000.0,19000.0,RM,https://cdn.sofifa.net/players/203/568/22_120.png
A. Benali,29,Libya,71,71,Crotone,1800000.0,9000.0,CM,https://cdn.sofifa.net/players/203/782/22_120.png
A. Knockaert,29,France,71,71,Fulham,1800000.0,34000.0,RM,https://cdn.sofifa.net/players/203/910/22_120.png
E. Başsan,29,Turkey,71,71,Yukatel Kayserispor,1800000.0,10000.0,RM,https://cdn.sofifa.net/players/204/372/22_120.png
M. Seuntjens,29,Netherlands,71,71,Fortuna Sittard,1800000.0,9000.0,LM,https://cdn.sofifa.net/players/204/684/22_120.png
Salvador Agra,29,Portugal,71,71,CD Tondela,1800000.0,6000.0,LW,https://cdn.sofifa.net/players/204/737/22_120.png
D. Ndongala,30,Congo DR,71,71,APOEL Nicosia FC,1800000.0,950.0,RW,https://cdn.sofifa.net/players/204/908/22_120.png
D. Blum,30,Germany,71,71,VfL Bochum 1848,1800000.0,15000.0,RM,https://cdn.sofifa.net/players/208/700/22_120.png
Jozabed,30,Spain,71,71,Málaga CF,1800000.0,7000.0,CM,https://cdn.sofifa.net/players/210/214/22_120.png
Tiago Rodrigues,29,Portugal,71,71,Al Hazem,1800000.0,15000.0,CAM,https://cdn.sofifa.net/players/211/559/22_120.png
B. Kololli,29,Kosovo,71,71,Shimizu S-Pulse,1800000.0,4000.0,LM,https://cdn.sofifa.net/players/211/903/22_120.png
I. Sylla,27,Guinea,71,71,Toulouse Football Club,1800000.0,5000.0,LWB,https://cdn.sofifa.net/players/212/282/22_120.png
G. Carrillo,30,Argentina,71,71,Elche CF,1800000.0,14000.0,ST,https://cdn.sofifa.net/players/215/334/22_120.png
L. Manyama,30,South Africa,71,71,Kaizer Chiefs,1800000.0,650.0,CAM,https://cdn.sofifa.net/players/219/912/22_120.png
D. Machado,27,Colombia,71,71,Racing Club de Lens,1800000.0,16000.0,LB,https://cdn.sofifa.net/players/220/837/22_120.png
Fernando Karanga,30,Brazil,71,71,Henan Songshan Longmen FC,1800000.0,11000.0,ST,https://cdn.sofifa.net/players/221/774/22_120.png
Jesús Imaz,30,Spain,71,71,Jagiellonia Białystok,1800000.0,8000.0,CF,https://cdn.sofifa.net/players/224/146/22_120.png
J. Cabrera,29,Uruguay,71,71,Argentinos Juniors,1800000.0,10000.0,RM,https://cdn.sofifa.net/players/224/317/22_120.png
A. Ibargüen,29,Colombia,71,71,Santos Laguna,1800000.0,15000.0,LM,https://cdn.sofifa.net/players/225/356/22_120.png
G. Ávalos,30,Paraguay,71,71,Argentinos Juniors,1800000.0,10000.0,ST,https://cdn.sofifa.net/players/226/286/22_120.png
H. Faik,29,Netherlands,71,71,Al Faisaly,1800000.0,11000.0,CM,https://cdn.sofifa.net/players/229/104/22_120.png
Moon Seon Min,29,Korea Republic,71,71,Jeonbuk Hyundai Motors,1800000.0,8000.0,RM,https://cdn.sofifa.net/players/229/694/22_120.png
V. Nsimba,27,Congo DR,71,71,Clermont Foot 63,1800000.0,11000.0,LB,https://cdn.sofifa.net/players/230/019/22_120.png
Carleto Costinha,29,Brazil,71,71,Fluminense,1800000.0,16000.0,CAM,https://cdn.sofifa.net/players/230/278/22_120.png
Mauro Riboas,29,Brazil,71,71,RB Bragantino,1800000.0,12000.0,CAM,https://cdn.sofifa.net/players/230/281/22_120.png
Pedrildo Rocha,29,Brazil,71,71,Sport Club Corinthians Paulista,1800000.0,20000.0,LW,https://cdn.sofifa.net/players/230/470/22_120.png
K. Rosenberry,27,United States,71,71,Colorado Rapids,1800000.0,5000.0,RB,https://cdn.sofifa.net/players/231/985/22_120.png
A. Hohberg,29,Peru,71,71,Club Sporting Cristal,1800000.0,850.0,LW,https://cdn.sofifa.net/players/234/180/22_120.png
Y. Shakhov,30,Ukraine,71,71,AEK Athens,1800000.0,850.0,CM,https://cdn.sofifa.net/players/234/980/22_120.png
K. Behrens,30,Germany,71,71,1. FC Union Berlin,1800000.0,20000.0,ST,https://cdn.sofifa.net/players/244/706/22_120.png
P. Farkas,28,Austria,71,71,FC Luzern,1700000.0,10000.0,RB,https://cdn.sofifa.net/players/193/264/22_120.png
C. Christie,28,Republic of Ireland,71,71,Fulham,1700000.0,31000.0,RB,https://cdn.sofifa.net/players/200/778/22_120.png
J. Risdon,28,Australia,71,71,Western United FC,1700000.0,2000.0,RB,https://cdn.sofifa.net/players/202/678/22_120.png
A. Reach,28,England,71,71,West Bromwich Albion,1700000.0,25000.0,LWB,https://cdn.sofifa.net/players/204/215/22_120.png
S. Sabelli,28,Italy,71,71,Genoa,1700000.0,11000.0,RB,https://cdn.sofifa.net/players/206/159/22_120.png
J. Van Rankin,28,Mexico,71,71,Portland Timbers,1700000.0,26000.0,RB,https://cdn.sofifa.net/players/208/502/22_120.png
K. Lawrence,28,Jamaica,71,71,Toronto FC,1700000.0,6000.0,LB,https://cdn.sofifa.net/players/220/209/22_120.png
V. Salazar,28,Argentina,71,71,Club Olimpia,1700000.0,850.0,RB,https://cdn.sofifa.net/players/224/459/22_120.png
M. Pineida,28,Ecuador,71,71,Barcelona Sporting Club,1700000.0,800.0,LB,https://cdn.sofifa.net/players/225/682/22_120.png
N. Bancu,28,Romania,71,71,Universitatea Craiova,1700000.0,10000.0,LB,https://cdn.sofifa.net/players/243/000/22_120.png
G. Kotsiras,28,Greece,71,71,Panathinaikos FC,1700000.0,600.0,RB,https://cdn.sofifa.net/players/262/815/22_120.png
J. Altidore,31,United States,71,71,Toronto FC,1600000.0,6000.0,ST,https://cdn.sofifa.net/players/176/237/22_120.png
M. Lang,30,Switzerland,71,71,FC Basel 1893,1600000.0,9000.0,RB,https://cdn.sofifa.net/players/184/501/22_120.png
J. Urretaviscaya,31,Uruguay,71,71,Club Atlético Rentistas,1600000.0,550.0,RW,https://cdn.sofifa.net/players/189/338/22_120.png
Quique,31,Spain,71,71,SD Eibar,1600000.0,9000.0,ST,https://cdn.sofifa.net/players/189/857/22_120.png
H. Dean,29,England,71,71,Birmingham City,1600000.0,14000.0,CB,https://cdn.sofifa.net/players/191/079/22_120.png
K. Noborizato,30,Japan,71,71,Kawasaki Frontale,1600000.0,8000.0,LB,https://cdn.sofifa.net/players/191/333/22_120.png
F. N'Sakala,30,Congo DR,71,71,Beşiktaş JK,1600000.0,23000.0,LB,https://cdn.sofifa.net/players/191/390/22_120.png
Y. Ōsako,31,Japan,71,71,Vissel Kobe,1600000.0,8000.0,CF,https://cdn.sofifa.net/players/191/565/22_120.png
M. Zimmermann,29,Germany,71,71,Fortuna Düsseldorf,1600000.0,15000.0,RB,https://cdn.sofifa.net/players/192/567/22_120.png
C. Doukouré,28,Côte d'Ivoire,71,71,CD Leganés,1600000.0,8000.0,CDM,https://cdn.sofifa.net/players/195/698/22_120.png
G. Efrem,31,Cyprus,71,71,APOEL Nicosia FC,1600000.0,850.0,CAM,https://cdn.sofifa.net/players/197/382/22_120.png
A. Ragusa,31,Italy,71,71,Hellas Verona,1600000.0,18000.0,RW,https://cdn.sofifa.net/players/198/136/22_120.png
B. Schenkeveld,29,Netherlands,71,71,Panathinaikos FC,1600000.0,600.0,CB,https://cdn.sofifa.net/players/198/177/22_120.png
D. Drexler,31,Germany,71,71,FC Schalke 04,1600000.0,9000.0,CAM,https://cdn.sofifa.net/players/198/617/22_120.png
Luna,30,Spain,71,71,FC Cartagena,1600000.0,5000.0,LB,https://cdn.sofifa.net/players/199/157/22_120.png
D. Appiah,29,France,71,71,FC Nantes,1600000.0,15000.0,RB,https://cdn.sofifa.net/players/199/191/22_120.png
Hong Chul,30,Korea Republic,71,71,Ulsan Hyundai FC,1600000.0,7000.0,LB,https://cdn.sofifa.net/players/199/236/22_120.png
T. Xhaka,30,Albania,71,71,FC Basel 1893,1600000.0,9000.0,CDM,https://cdn.sofifa.net/players/199/504/22_120.png
B. Martins Indi,29,Netherlands,71,71,AZ Alkmaar,1600000.0,7000.0,CB,https://cdn.sofifa.net/players/199/550/22_120.png
L. González Pirez,29,Argentina,71,71,Inter Miami CF,1600000.0,6000.0,CB,https://cdn.sofifa.net/players/199/669/22_120.png
